Gene_A,Gene_B
HIF3A,ARNT
ARNT,SP1
ARNT,SMAD4
ARNT,SMAD3
ARNT,FXN
ARNT,HDAC7
ARNT,GCK
ARNT,IGFBP1
ARNT,HIF1A
ARNT,CP
ARNT,MMP14
ARNT,PLIN2
ARNT,PFKL
ARNT,ABCG2
ARNT,ADM
ARNT,TFF3
ARNT,CXCL12
ARNT,BHLHE41
ARNT,NCOA1
ARNT,SLC2A3
ARNT,SLC2A1
ARNT,ENG
ARNT,EPAS1
ARNT,CREBBP
ARNT,FLT1
ARNT,ENO1
ARNT,MCL1
ARNT,PFKFB3
ARNT,NT5E
ARNT,POU5F1
ARNT,EPO
ARNT,PGM1
ARNT,HEY2
ARNT,LEP
ARNT,NPM1
ARNT,VEGFA
ARNT,BNIP3
ARNT,TWIST1
ARNT,CXCR4
ARNT,CA9
ARNT,EGLN3
ARNT,EGLN1
ARNT,ID2
ARNT,EP300
ARNT,SIRT1
ARNT,AKT1
ARNT,NDRG1
ARNT,SERPINE1
ARNT,FECH
ARNT,ADORA2A
ARNT,SLC11A2
ARNT,TFRC
ARNT,BHLHE40
ARNT,TF
ARNT,RORA
ARNT,APEX1
ARNT,ABCB1
ARNT,ETS1
ARNT,EDN1
ARNT,CITED2
ARNT,FURIN
ARNT,LDHA
ARNT,KDR
ARNT,PGK1
ARNT,NOS2
ARNT,ITGB2
ARNT,HK2
ARNT,HK1
ARNT,EFNA1
ARNT,ALDOA
ARNT,TERT
ARNT,HMOX1
ARNT,PKM
HIST1H4B,HDAC1
HIST1H4B,HDAC3
HIST1H4B,HDAC2
HIST1H4B,HDAC5
HIST1H4B,HDAC4
HDAC7,HIST1H4B
HIST1H4B,HDAC6
HIST1H4B,HDAC9
HIST1H4B,HDAC8
HIST1H4B,HIST2H3A
SIRT1,HIST1H4B
HIST1H4B,HIST2H3D
HIST1H4B,HIST2H3C
HIST1H4B,HIST2H2BE
HIST1H4B,HDAC11
HIST1H4B,HDAC10
HIST1H4B,HIST2H2AC
HDAC1,HIST1H4F
HDAC1,HIST1H4E
HDAC1,HIST1H4D
HDAC1,HIST1H4K
HDAC1,HIST1H4J
HDAC1,HIST1H4I
HDAC1,HIST1H4A
HDAC1,HIST1H4L
HDAC1,HIST1H4H
HDAC1,MAX
HDAC1,CTBP1
HDAC1,XPO1
SMAD4,HDAC1
HDAC1,SMAD7
HDAC1,SMAD2
SMAD3,HDAC1
HDAC1,SENP1
HDAC1,KLK3
HDAC1,HIST2H3A
HDAC1,MXD1
HDAC1,TCF4
HDAC1,HIST1H4C
HDAC1,NUP62
HDAC1,PITX2
HDAC1,SKIL
HDAC1,DNMT1
HDAC1,TRIM28
HDAC1,AES
HDAC1,HIST2H3C
HDAC1,MBD3L2
HDAC1,HIST4H4
HDAC1,RBPJ
HDAC1,SAP18
HDAC1,CHD3
HDAC1,CHD4
HDAC1,NCOR2
HDAC1,NCOR1
HDAC1,SIN3B
HDAC1,SIN3A
HDAC1,SUMO1
HDAC1,NRIP1
HDAC1,PTGDR
HDAC1,NUP214
HDAC1,NUP210
HDAC1,LMO4
HDAC1,HIST2H4A
HDAC1,RARA
HDAC1,RARB
HDAC1,RARG
HDAC1,CDKN2A
HDAC1,SAP30
CREBBP,HDAC1
HDAC1,E2F4
HDAC1,E2F2
HDAC1,CDK4
HDAC1,CDK6
HDAC1,HIST2H2AC
HDAC1,UBE2I
HDAC1,IL5
HDAC1,HIST2H2BE
HDAC1,RANGAP1
HDAC1,NFKBIA
HDAC1,UBE3A
HDAC1,NUP153
HDAC1,TFDP2
HDAC1,RBL1
HDAC1,RBL2
HDAC1,STAT5B
HDAC1,STAT5A
HDAC1,HIST2H3D
HDAC1,MTA1
HDAC1,LEF1
HDAC1,HNF1A
HDAC1,E2F3
HDAC1,E2F1
HDAC1,RANBP2
HDAC1,RB1
HDAC1,RBBP7
HDAC1,RBBP4
HDAC1,SMURF1
HDAC1,ESR1
HDAC1,GLI1
HDAC1,YY1
HDAC1,GATAD2B
HDAC1,GATAD2A
TERT,HDAC1
HDAC1,HES1
HDAC1,FKBP3
HDAC1,GATA1
HDAC1,CCND1
HDAC1,CCND3
HDAC1,CCND2
HDAC1,TLE1
HDAC1,RXRG
HDAC1,RXRA
HDAC1,RXRB
HDAC1,HIST2H4B
HDAC1,SUFU
HDAC1,MBD3
HDAC1,MBD2
HDAC1,RAN
HDAC1,TCF7L2
HDAC1,CCNE2
HDAC1,CCNE1
HDAC1,SKI
HDAC1,HDAC2
HDAC1,ZFPM1
HDAC1,ID1
HDAC1,GLI3
HDAC1,MTA2
HDAC1,ZNFX1
HDAC1,TFCP2
HDAC1,TFDP1
HDAC1,TGIF1
HDAC3,HIST1H4F
HDAC3,HIST1H4E
HDAC3,HIST1H4D
HDAC3,HIST1H4K
HDAC3,HIST1H4J
HDAC3,HIST1H4I
HDAC3,HIST1H4A
HDAC3,HIST1H4L
HDAC3,HIST1H4H
HDAC3,MAX
HDAC7,HDAC3
HDAC3,RELA
HDAC3,HIST2H3A
HDAC3,MEF2C
HDAC3,HIST1H4C
HDAC3,HIST2H3C
HDAC3,DDIT3
HDAC3,HIST4H4
HDAC3,NCOR2
HDAC3,NRIP1
HDAC3,PPARG
HDAC3,HIST2H4A
HDAC3,BTRC
HDAC3,RARA
HDAC3,RARB
HDAC3,RARG
HDAC3,E2F2
HDAC3,HIST2H2AC
HDAC3,HIST2H2BE
HDAC3,NFKBIA
HDAC3,TNF
HDAC3,HIST2H3D
HDAC3,E2F3
HDAC3,E2F1
HDAC3,RB1
HDAC3,NR2C1
HDAC3,RBBP4
HDAC3,YY1
HDAC3,MYC
HDAC3,GATA2
HDAC3,GATA1
HDAC3,RXRG
HDAC3,RXRA
HDAC3,RXRB
HDAC3,HIST2H4B
HDAC3,HDAC4
HDAC3,STAT3
HDAC3,TNFRSF1A
ID2,HDAC3
HDAC3,TFDP1
HDAC2,HIST1H4F
HDAC2,HIST1H4E
HDAC2,HIST1H4D
HDAC2,HIST1H4K
HDAC2,HIST1H4J
HDAC2,HIST1H4I
HDAC2,HIST1H4A
HDAC2,HIST1H4L
HDAC2,HIST1H4H
SP1,HDAC2
HDAC2,SP3
HDAC2,MAX
HDAC2,CTBP1
SMAD4,HDAC2
HDAC2,SMAD2
SMAD3,HDAC2
HDAC2,RELA
HDAC2,HIST2H3A
HDAC2,MXD1
HDAC2,HIST1H4C
HDAC2,SKIL
HDAC2,HIST2H3C
HDAC2,MBD3L2
HDAC2,HIST4H4
HDAC2,SAP18
HDAC2,CHD3
HDAC2,CHD4
HDAC2,NCOR1
HDAC2,NFKB1
HDAC2,SIN3B
HDAC2,SIN3A
HDAC2,HIST2H4A
HDAC2,SAP30
CREBBP,HDAC2
HDAC2,HIST2H2AC
HDAC2,HIST2H2BE
HDAC2,UBE3A
HDAC2,FDXR
HDAC2,CDKN1A
HDAC2,HIST2H3D
HDAC2,CSF2
HDAC2,RBBP7
HDAC2,RBBP4
HDAC2,GLI1
HDAC2,YY1
HDAC2,GATAD2B
HDAC2,GATAD2A
TERT,HDAC2
HDAC2,NR3C1
HDAC2,FKBP3
HDAC2,GATA1
HDAC2,HIST2H4B
HDAC2,SUFU
HDAC2,DKK1
HDAC2,MBD3
HDAC2,MBD2
HDAC2,TCF7L2
HDAC2,SKI
HDAC2,GLI3
HDAC2,MTA2
HDAC2,ZFPM1
HDAC2,MDM2
EP300,HDAC2
HDAC2,ZNFX1
HDAC2,TGIF1
HDAC5,HIST1H4F
HDAC5,HIST1H4E
HDAC5,HIST1H4D
HDAC5,HIST1H4K
HDAC5,HIST1H4J
HDAC5,HIST1H4I
HDAC5,HIST1H4A
HDAC5,HIST1H4L
HDAC5,HIST1H4H
HDAC5,HIST2H3A
HDAC5,HIST1H4C
HDAC5,HIST2H3C
HDAC5,HIST4H4
HDAC5,HIST2H4A
HDAC5,HIST2H2AC
HDAC5,HIST2H2BE
HDAC5,BCOR
HDAC5,HIST2H3D
HDAC5,GNB1
HDAC5,YWHAB
HDAC5,YWHAE
HDAC5,BCL6
HDAC5,GATA2
HDAC5,GATA1
HDAC5,RFXANK
HDAC5,ANKRA2
HDAC5,HIST2H4B
HDAC5,GNG2
HDAC4,HIST1H4F
HDAC4,HIST1H4E
HDAC4,HIST1H4D
HDAC4,HIST1H4K
HDAC4,HIST1H4J
HDAC4,HIST1H4I
HDAC4,HIST1H4A
HDAC4,HIST1H4L
HDAC4,CAMK4
HDAC4,HIST1H4H
HDAC4,XPO1
HDAC4,HIST2H3A
HDAC4,MEF2C
HDAC4,MEF2D
HDAC4,HIST1H4C
HDAC4,NUP62
HDAC4,HIST2H3C
HDAC4,SRF
HDAC4,HIST4H4
HDAC4,NCOR2
HDAC4,SUMO1
HDAC4,CAMK2A
HDAC4,NUP214
HDAC4,NUP210
HDAC4,HIST2H4A
HDAC4,HIST2H2AC
HDAC4,UBE2I
HDAC4,HIST2H2BE
HDAC4,RANGAP1
HDAC4,NUP153
HDAC4,HIST2H3D
HDAC4,RANBP2
HDAC4,YWHAB
HDAC4,YWHAE
HDAC4,ESR1
SIRT1,HDAC4
HDAC4,GATA1
HDAC4,RFXANK
HDAC4,ANKRA2
HDAC4,HIST2H4B
HDAC4,RAN
HDAC7,HIST1H4F
HDAC7,HIST1H4E
HDAC7,HIST1H4D
HDAC7,HIST1H4K
HDAC7,HIST1H4J
HDAC7,HIST1H4I
HDAC7,HIST1H4A
HDAC7,HIST1H4L
HDAC7,HIST1H4H
HDAC7,HIST1H4C
HDAC7,HIF1A
HDAC7,HIST2H2BE
HDAC7,HIST2H4B
HDAC7,HIST2H4A
HDAC7,HIST4H4
HDAC7,KLK3
HDAC7,HIST2H3D
HDAC7,HIST2H3C
HDAC7,HIST2H3A
HDAC7,EP300
HDAC7,HIST2H2AC
HDAC7,SLC2A1
HDAC7,AR
HDAC7,VEGFA
HDAC7,CREBBP
HDAC6,HIST1H4F
HDAC6,HIST1H4E
HDAC6,HIST1H4D
HDAC6,HIST1H4K
HDAC6,HIST1H4J
HDAC6,HIST1H4I
HDAC6,HIST1H4A
HDAC6,HIST1H4L
HDAC6,HIST1H4H
HDAC6,TUBB2A
HDAC6,HIST1H4C
HDAC6,HIST2H2BE
HDAC6,HIST2H4B
HDAC6,HIST2H4A
HDAC6,HIST4H4
HDAC6,TUBA1B
HDAC6,NR3C1
HDAC6,HIST2H3D
HDAC6,HIST2H3C
HDAC6,HIST2H3A
HDAC6,HIST2H2AC
HDAC6,HDAC11
HDAC6,HSP90AA1
HDAC9,HIST1H4F
HDAC9,HIST1H4E
HDAC9,HIST1H4D
HDAC9,HIST1H4K
HDAC9,HIST1H4J
HDAC9,HIST1H4I
HDAC9,HIST1H4A
HDAC9,HIST1H4L
